Organization type,Records
Clinical Laboratory,11900000.0
Consumer Goods,150000000.0
Information Security,0.0
Network Monitoring,0.0
QR code payment,20076016.0
Question & Answer,100000000.0
Telephone directory,299055000.0
academic,7140540.0
advertising,75000.0
arts group,0.0
background check,56000000.0
banking,90000.0
"consulting, accounting",0.0
data broker,340000000.0
dating,0.0
educational services,35040000.0
energy,14310000.0
fashion,123857.0
financial,818597083.0
financial service company,885000000.0
"financial, credit reporting",163119000.0
gambling,0.0
game,350000.0
gaming,172623989.0
genealogy,92283889.0
government,202350860.0
"government, database",1500000.0
"government, healthcare",9037378.0
"government, military",26500000.0
health,500000.0
healthcare,171142570.0
hosting provider,1107034.0
hotel,505563000.0
humanitarian,515000.0
information technology,0.0
local search,100000000.0
market analysis,120000000.0
media,1700000.0
messaging app,162000000.0
military,77448000.0
"military, healthcare",4901432.0
mobile carrier,900000.0
online marketing,38000000.0
online shopping,1648922.0
personal and demographic data about residents and their properties of US,201000000.0
phone accessories,377428.0
political,19252.0
publisher (magazine),380000.0
restaurant,2000000.0
retail,372140740.0
shopping,510000.0
social media,46000000.0
social network,1238000000.0
social networking,14870304.0
software,0.0
special public corporation,1250000.0
tech,1006298000.0
"tech, retail",12567232.0
"tech, web",22000000.0
telecom,45000000.0
telecommunications,420000000.0
telecoms,50637000.0
ticket distribution,26151608.0
transport,66972000.0
various,6400000.0
web,5203695724.0
web service,0.0
"web, gaming",32000000.0
"web, military",163792.0
"web, tech",4700000.0
